fid,ID,indNomencl,metodoProd,mi,nome,orgaoEdito,tipoCarta,anoRestitu,anoReambul,anoVoo,areaFolha,latLimNort,latLimSul,longLimLes,longLimOes,recursoOff,recursoOnL,uf,declinacao,datumHoriz,datumVerti,meridianoC,sistemaPro,anoEdicao,numEdicao,anoImpress,numImpress,geoPdf,pdf,metadadoIm,PRIMARYIND,Escala
1,1,SC-21-Y-B,Restituição fotogramétrica,"298",TAPAIUNA,DSG,Topográfica,"1980","1979","1967","3029.453","-10.000","-11.000","-57.000","-58.500",,,MT,Em 1978 10° 34' (Cresce 8'ao ano),SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,1,250000
2,2,SC-22-Z-B,Compilação,"304",PORTO NACIONAL,DSG,Topográfica,Não se aplica,"1975",Informação em levantamento,"3029.453","-10.000","-11.000","-48.000","-49.500",,,TO,"Em 1986 18° 04' 32"" (Cresce 7,8' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Nã,Não se aplic,2,250000
3,3,SC-23-Y-A,Compilação,"305",PONTE ALTA DO NORTE,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3029.453","-10.000","-11.000","-46.500","-48.000",,,TO,Em 1983 17° 30' (Cresce 9' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,3,250000
4,4,SC-23-Y-B,Compilação,"306",CORRENTE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3029.453","-10.000","-11.000","-45.000","-46.500",,,BA_MA_PI_TO,Em 1984 -18° 43' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,4,250000
5,5,SC-23-Z-A,Compilação,"307",CURIMATÁ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3029.453","-10.000","-11.000","-43.500","-45.000",,,BA_PI,Em 1984 -19° 44' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,5,250000
6,6,SF-21-Z-A,Compilação,"482",PONTA PORÃ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2853.623","-22.000","-23.000","-55.500","-57.000",,,MS,"Em 1988 -10° 55' (Cresce -8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Nã,Não,6,250000
7,7,NA-20-Z-B,Compilação,"030",CARACARAÍ,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3075.883","2.000","1.000","-59,9999","-61,4999",,,RR,Em 1984 11° 13' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,7,250000
8,8,SC-24-V-C,Restituição fotogramétrica,"284",JUAZEIRO,IBGE,Topográfica,"1950",1946 a 1947,1946 a 1947,"3038.315","-9.000","-10.000","-40.500","-42.000",,,BA_PE_PI,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1950","1","1950","1",Nã,Nã,Não,8,250000
9,9,SC-24-V-D,Restituição fotogramétrica,"285",UAUÁ,IBGE,Topográfica,"1948","1948","1948","3038.315","-9.000","-10.000","-39.000","-40.500",,,BA_PE,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1950","1","1950","1",Nã,Nã,Não,9,250000
10,10,SC-23-Z-B,Compilação,"308",XIQUE-XIQUE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3029.453","-10.000","-11.000","-42.000","-43.500",,,BA,Em 1983 -20° 27' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1983","1","1983","1",Nã,Nã,Não,10,250000
11,11,SC-24-Y-A,Restituição fotogramétrica,"309",UPAMIRIM,IBGE,Topográfica,"1946, 1947 e 1950","1946, 1947 e 1950","1946, 1947 e 1950","3029.453","-10.000","-11.000","-40.500","-42.000",,,BA,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1951","1","1951","1",Nã,Nã,Não,11,250000
12,12,SC-24-Y-B,Restituição fotogramétrica,"310",SENHOR DO BONFIM,IBGE,Topográfica,"1949","1949","1949","3029.453","-10.000","-11.000","-39.000","-40.500",,,BA,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1951","1","1951","1",Nã,Nã,Não,12,250000
13,13,SC-20-Y-C,Compilação,"313",RIO MAMORÉ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-64,4999","-65,9999",,,RO,Em 1987 -06° 23' (Cresce -10' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,13,250000
14,14,SC-20-Y-D,Compilação,"314",SERRA DOS UOPIANES,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-62,9999","-64,5",,,RO,Em 1988 -07° 39' (Cresce -10' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,14,250000
15,15,SC-20-Z-C,Compilação,"315",PRESIDENTE MÉDICI,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-61,4999","-62,9999",,,RO,Informação em levantamento,SAD69,Imbituba-SC,"-63",UTM,"1990","1","1991","1",Nã,Sim,Não,15,250000
16,16,SC-20-Z-D,Compilação,"316",CACOAL,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-59,9999","-61,5",,,MT_RO,Em 1982 -09° 54',SAD69,Imbituba-SC,"-63",UTM,"1989","1","1989","1",Nã,Sim,Não,16,250000
17,17,SC-21-Z-D,Compilação,"320",SINOP,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-54.000","-55.500",,,MT,Em 1983 13° 30' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,17,250000
18,18,SE-20-X-B,Compilação,"401",BAÍA GRANDE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-59,9999","-61,4999",,,MT,"Em 1987 -09° 04' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,18,250000
19,19,SE-24-V-B,Compilação,"415",GUARATINGA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-39.000","-40.500",,,BA_MG,Em 1983 -21° 41' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1983","1","1983","1",Nã,Nã,Não,19,250000
20,20,SE-24-X-A,Compilação,"416",GUARATINGA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-37.500","-39.000",,,BA,Em 1983 -21° 41' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1983","1","1983","1",Nã,Nã,Não,20,250000
21,21,SE-24-V-D,Compilação,"429",NANUQUE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2942.327","-17.000","-18.000","-39.000","-40.500",,,BA_ES_MG,Em 1983 -21° 40' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1983","1","1983","1",Nã,Nã,Não,21,250000
22,22,SE-24-Y-A,Compilação,"441",GOVERNADOR VALADARES,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-40.500","-42.000",,,ES_MG,Em 1982 -20° 55' (Cresce -8' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1982","1","1982","1",Nã,Sim,Não,22,250000
23,23,SE-24-Y-C,Compilação,"454",COLATINA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2909.459","-19.000","-20.000","-40.500","-42.000",,,ES_MG,Em 1982 -20° 50' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1982","1","1982","1",Nã,Sim,Não,23,250000
24,24,SE-24-Y-D,Compilação,"455",LINHARES,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2909.459","-19.000","-20.000","-39.000","-40.500",,,ES,Em 1981 -21° 19' (Cresce -7' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1981","1","1981","1",Nã,Nã,Não,24,250000
25,25,SA-21-Y-A,Compilação,"095",RIO UATUMÃ,DSG,Topográfica,Não se aplica,1978 e 1979,Informação em levantamento,"3074.971","-2.000","-3.000","-58,4999","-59,9999",,,AM,Em 1986 12° 00' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1986","1","1986","1",Nã,Nã,Não se aplic,25,250000
26,26,SC-23-X-B,Compilação,"257",SÃO JOÃO DO PIAUÍ,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3046.274","-8.000","-9.000","-42.000","-43.500",,,PI,Em 1982 20° 12' (Cresce 6' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,26,250000
27,27,SC-24-X-B,Compilação,"261",GARANHUNS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3046.274","-8.000","-9.000","-36.000","-37.500",,,AL_PB_PE,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",UTM,"1981","1","1981","1",Nã,Nã,Não,27,250000
28,28,SC-23-X-C,Compilação,"282",BOM JESUS,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3038.315","-9.000","-10.000","-43.500","-45.000",,,BA_PI,Em 1982 19° 34' (Cresce 7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1986","2","1995","2",Nã,Nã,Não se aplic,28,250000
29,29,SC-23-X-D,Restituição fotogramétrica,"283",REMANSO,IBGE,Topográfica,"1950",1946 a 1947,"1946","3038.315","-9.000","-10.000","-42.000","-43.500",,,BA_PI,Informação em levantamento,Chuá,Imbituba-SC,"-45",Policônica,"1950","1","1950","1",Nã,Nã,Não,29,250000
30,30,SC-23-Y-C,Compilação,"325",DIANÓPOLIS,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-46.500","-48.000",,,BA_TO,"Em 1980 17° 50' (Cresce 8,7' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1986","1","1983","1",Nã,Nã,Não se aplic,30,250000
31,31,SC-23-Y-D,Compilação,"326",FORMOSA DO RIO PRETO,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-45.000","-46.500",,,BA_TO,Em 1984 -18° 57' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,31,250000
32,32,SC-23-Z-C,Compilação,"327",SANTA RITA DE CÁSSIA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-43.500","-45.000",,,BA,Em 1984 -19° 37' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,32,250000
33,33,SC-23-Z-D,Compilação,"328",BARRA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-42.000","-43.500",,,BA,Em 1984 -20° 31' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Sim,Não,33,250000
34,34,SC-24-Y-C,Restituição fotogramétrica,"329",MORRO DO CHAPÉU,IBGE,Topográfica,"1950",1946 a 1947,"1946","3019.69","-11.000","-12.000","-40.500","-42.000",,,BA,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1950","1","1950","1",Nã,Sim,Não,34,250000
35,35,SC-24-Y-D,Restituição fotogramétrica,"330",SERRINHA,IBGE,Topográfica,"1951","1949","1949","3019.69","-11.000","-12.000","-39.000","-40.500",,,BA,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1951","1","1951","1",Nã,Nã,Não,35,250000
36,36,SC-24-Z-D,Compilação,"332",ESTÂNCIA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-36.000","-37.500",,,BA_SE,Em 1983 -22° 16' (Cresce -5' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1983","1","1983","1",Nã,Sim,Não,36,250000
37,37,SD-20-V-A,Compilação,"333",RIO MAMORÉ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-64,4999","-65,9999",,,RO,Em 1987 -06° 23' (Cresce -10' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,37,250000
38,38,SD-20-V-B,Compilação,"334",COSTA MARQUES,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-62,9999","-64,5",,,RO,"Em 1988 -07° 21' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,38,250000
39,39,SD-24-V-A,Compilação,"349",SEABRA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-40.500","-42.000",,,BA,Em 1984 -21° 13' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1984","1","1984","1",Nã,Sim,Não,39,250000
40,40,SD-24-V-B,Compilação,"350",SANTO ANTÔNIO DE JESUS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-39.000","-40.500",,,BA,Em 1985 -21° 58' (Cresce -5' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1985","1","1985","1",Nã,Nã,Não,40,250000
41,41,SD-20-X-C,Compilação,"352",LARANJEIRA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2997.469","-13.000","-14.000","-61,4999","-62,9999",,,RO,"Em 1987 -08° 10' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1987","1","1987","1",Nã,Sim,Não,41,250000
42,42,SD-20-X-D,Compilação,"353",COLORADO DO OESTE,IBGE,Topográfica,Não se aplica,"1984","1981","2997.469","-13.000","-14.000","-59,9999","-61,4999",,,MT_RO,"Em 1980 -09° 51' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1990","1","1990","1",Nã,Sim,Não,42,250000
43,43,SD-22-X-D,Compilação,"361",PORANGATU,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2997.469","-13.000","-14.000","-48.000","-49.500",,,GO_TO,Em 1983 -17° 23' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não,43,250000
44,44,SD-20-Z-B,Compilação,"369",SERRA RICARDO FRANCO,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-59,9999","-61,4999",,,MT,"Em 1987 -09° 08' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1987","1","1987","1",Nã,Sim,Não,44,250000
45,45,SD-20-Z-D,Compilação,"385",BAÍA GRANDE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-59,9999","-61,4999",,,MT,"Em 1987 -09° 04' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,45,250000
46,46,SC-22-Z-C,Compilação,"323",SÃO FÉLIX DO ARAGUAIA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-49.500","-51.000",,,MT_TO,"Em 1983 16° 33,7"" (Cresce 9' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,46,250000
47,47,NA-20-X-B,Compilação,"010",RIO URARICOERA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3070.867","4.000","2.000","-59,9999","-61,4999",,,RR,Em 1988 -11° 03' (Cresce 7' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,47,250000
48,48,NA-21-V-A,Compilação,"011",BONFIM,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3070.867","4.000","2.000","-58,4999","-59,9999",,,RR,Em 1986 -12° 03' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1986","1","1986","1",Nã,Nã,Não,48,250000
49,49,NA-20-X-D,Compilação,"017",BOA VISTA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3073.831","3.000","2.000","-59,9999","-61,4999",,,RR,Em 1983 -11° 13' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,49,250000
50,50,NA-21-V-C,Compilação,"018",BOA VISTA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3073.831","3.000","2.000","-58,4999","-59,9999",,,RR,Em 1983 11° 13' (Cresce10' ao ano),Informação em levantamento,Imbituba-SC,"-57",UTM,"1986","1","1986","1",Nã,Nã,Não se aplic,50,250000
51,51,SC-19-V-A,Compilação,"238",TARAUACÁ,DSG,Topográfica,Não se aplica,1984 e 1985,Informação em levantamento,"3046.274","-8.000","-9.000","-70.500","-72.000",,,AC_AM,Em 1987 -02° 17' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-69",UTM,"1987","1","1987","1",Nã,Nã,Não se aplic,51,250000
52,52,NA-21-Y-D,Restituição fotogramétrica,"046",RIO TURUNA,IBGE,Topográfica,"1982","1979","1978","3077.024","1.000","0.000","-57.000","-58.500",,,PA,Em 1983 -13° 07' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Sim,Não,52,250000
53,53,SA-20-Z-B,Compilação,"094",NOVO AIRÃO,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3074.971","-2.000","-3.000","-59,9999","-61,4999",,,AM,Em 1981 10° 11' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-63",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,53,250000
54,54,SA-21-Y-C,Compilação,"116",MANAUS-E,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3072.463","-3.000","-4.000","-58,4999","-59,9999",,,AM,Em 1983 11° 25' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,54,250000
55,55,SA-21-Y-D,Compilação,"117",ITACOATIARA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3072.463","-3.000","-4.000","-57.000","-58.500",,,AM_PA,Em 1983 12° 26' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,55,250000
56,56,SA-21-Z-C,Compilação,"118",BRASÍLIA LEGAL,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3072.463","-3.000","-4.000","-55.500","-57.000",,,AM_PA,Em 1983 13° 24' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,56,250000
