fid,ID,indNomencl,metodoProd,mi,nome,orgaoEdito,tipoCarta,anoRestitu,anoReambul,anoVoo,areaFolha,latLimNort,latLimSul,longLimLes,longLimOes,recursoOff,recursoOnL,uf,declinacao,datumHoriz,datumVerti,meridianoC,sistemaPro,anoEdicao,numEdicao,anoImpress,numImpress,geoPdf,pdf,metadadoIm,PRIMARYIND
1,1,NA-20-V-D-I,Restituição digital,"0047",SERRA  PARIMA,IBGE,Topográfica,"1997","1995","1980","3073.8","3.000","2.500","-64.000","-64.500",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,RR,"Em 2005 -12° 12' (Cresce -7,6' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,1
2,2,NA-20-V-B-IV,Restituição digital,"0033",NASCENTE DO RIO INAJÁ,IBGE,Topográfica,"1997","1995","1980","3072.5","3.500","3.000","-64.000","-64.500",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,RR,"Em 2005 -12° 14 (Cresce -7,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,2
3,3,NA-20-V-B-I,Restituição digital,"0020",RIO UAUARIS,IBGE,Topográfica,"1997","1985","1980","3070.9","4.000","3.500","-64.000","-64.500",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,RR,"Em 2005 -12° 17' (Cresce -7,3' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,3
4,4,NA-20-V-D-V,Restituição digital,"0067",BARCELOS,IBGE,Topográfica,"1997","1995","1980","3070.0","2.500","2.000","-63.500","-64.000",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,AM_RR,"Em 2005 -12° 28' (Cresce -7,7' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,4
5,5,NA-20-V-D-II,Restituição digital,"0048",SERRA DAS SURUCUCUS,IBGE,Topográfica,"1997","1995","1980","3073.8","3.000","2.500","-63.500","-64.000",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,RR,"Em 2005  -12° 31' (Cresce -7,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,5
6,6,NA-20-V-D-VI,Restituição digital,"0068",RIO CATRIMANI,IBGE,Topográfica,"1997","1995","1980","3075.0","2.500","2.000","-63.000","-63.500",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,AM_RR,"Em 2005 -12° 48' (Cresce -7,6' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,6
7,7,NA-20-V-D-III,Restituição digital,"0049",RIO MUCAJAÍ,IBGE,Topográfica,"1997","1995","1980","3073.8","3.000","2.500","-63.000","-63.500",CD-ROM,ftp://geoftp.ibge.gov.br/mapas/topograficos/rest100/,RR,"Em 2005 -12° 50' (Cresce -7,4' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"2005","1","2005","1",Nã,Nã,Não,7
8,8,SE-21-X-B-VI,Restituição fotogramétrica,"2286",PEDRA PRETA,DSG,Topográfica,"1975","1973","1967","2949.995","-16.500","-17.000",,,,,MT,Em 1973 11° 21' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1976","1","1976","1",Nã,Nã,Não se aplic,8
9,9,SE-22-X-A-VI,Restituição fotogramétrica,"2295",NAZÁRIO,DSG,Topográfica,"1972","1971","1966","2949.995","-16.500","-17.000",,,,,GO,"Em 1988 17° 24' (Cresce 8,3' ao ano)",Córrego Alegre,Imbituba-SC,"-51",UTM,"1973","1","1973","1",Nã,Nã,Não se aplic,9
10,10,SE-22-X-B-IV,Restituição fotogramétrica,"2296",GOIÂNIA,DSG,Topográfica,"1973","1971","1964","2949.995","-16.500","-17.000",,,,,GO,"Em 1970 15° 24' (Cresce 8,9' ao ano)",Córrego Alegre,Imbituba-SC,"-51",UTM,"1973","1","1997","2",Nã,Nã,Não se aplic,10
