uf,scale,sheet_code,sheet_title,year,acervo_url,pdf_geologia_url,pdf_recursos_url,pdf_relatorio_url,sig_zip_url,status_download
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/3025,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/10293,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/4632,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/1846,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/3574,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/3165,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/865,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/3090,,,,,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/17810,,,,https://rigeo.sgb.gov.br/bitstream/doc/17810/4/sig_manoelurbano_ac_risco.zip,200
AC,,,,,https://rigeo.sgb.gov.br/handle/doc/23828,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/17161,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/17169,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/14738,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/3212,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/3267,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/1986,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/3113,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/8321,,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/17082,https://rigeo.sgb.gov.br/bitstream/doc/17082/1/geologia_plataforma_brasileira.pdf,,,,200
AL,,,,,https://rigeo.sgb.gov.br/handle/doc/15238,,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/1695,,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/1693,,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/22526,https://rigeo.sgb.gov.br/bitstream/doc/22526/1/rigeo_resumo_cafe_geologico_s01e33.pdf,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/13937,,,,https://rigeo.sgb.gov.br/bitstream/doc/13937/4/geoquimica_platina_am-rr_1995.zip,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/22563,,,https://rigeo.sgb.gov.br/bitstream/doc/22563/1/relatorio_Labrea_aterro_sanitario.pdf,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/22528,https://rigeo.sgb.gov.br/bitstream/doc/22528/1/rigeo_resumo_cafe_geologico_s01e31.pdf,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/7718,,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/10268,,,,,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/14286,,,https://rigeo.sgb.gov.br/bitstream/doc/14286/1/rli_relatorio_anual_projetos_1996.pdf,https://rigeo.sgb.gov.br/bitstream/doc/14286/4/geoquimica_platina_ro_1995.zip,200
AM,,,,,https://rigeo.sgb.gov.br/handle/doc/14300,,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/1656,https://rigeo.sgb.gov.br/bitstream/doc/1656/4/Area_AP-04_Tumucumaque-Amapa.pdf,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/1659,https://rigeo.sgb.gov.br/bitstream/doc/1659/4/Area_AP-02_Tartarugalzinho-Amapa.pdf,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/1736,,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/14679,,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/1647,https://rigeo.sgb.gov.br/bitstream/doc/1647/5/Area_AP-03_Alto_Jari-Amapa_Para.pdf,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/1652,https://rigeo.sgb.gov.br/bitstream/doc/1652/4/%c3%81rea%20AP-01%2c%20Cassipor%c3%a9%2c%20Amap%c3%a1.%20Mapa%20de%20%c3%8dndice%20de%20Prospec%c3%a7%c3%a3o%20Pr%c3%a9via.pdf,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/859,,,,,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/17689,https://rigeo.sgb.gov.br/bitstream/doc/17689/5/carta_geologica_araripina.pdf,,,https://rigeo.sgb.gov.br/bitstream/doc/17689/10/sig_araripina_vr.zip,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/14872,,,,https://rigeo.sgb.gov.br/bitstream/doc/14872/5/imagens_macapa_ap.zip,200
AP,,,,,https://rigeo.sgb.gov.br/handle/doc/1660,https://rigeo.sgb.gov.br/bitstream/doc/1660/4/%c3%81rea%20AP-06%2c%20Vila%20Nova%2c%20Iratapuru.%20Mapa%20de%20%c3%8dndice%20de%20Prospec%c3%a7%c3%a3o%20Pr%c3%a9via.pdf,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/1638,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/4532,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/1731,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/6544,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/6141,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/4501,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/7065,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/18021,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/3273,,,,,200
BA,,,,,https://rigeo.sgb.gov.br/handle/doc/14636,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/6849,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/4248,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/3165,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/6851,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/6850,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/3172,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/4244,,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/3614,,,https://rigeo.sgb.gov.br/bitstream/doc/3614/1/Relat%c3%b3rio%20Final%20do%20Po%c3%a7o%204QX-01-CE%2c%20Lagoa%20do%20Mato%2c%20Quixada%2c%20Cear%c3%a1.pdf,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/16508,https://rigeo.sgb.gov.br/bitstream/doc/16508/2/Mapa_SaoJoaodoPiaui.pdf,,,,200
CE,,,,,https://rigeo.sgb.gov.br/handle/doc/1648,,,,,200
